,index,NbCommentaire,NbIngredients,Note,Plat,Temps,accompagnement,amusegueule,boisson,confiserie,dessert,entree,ingredient,platprincipal,sauce,vegan,vegetarien
0,1,401,8,"4,7",Cake au citron,45,0,0,0,0,1,0,"['citron', 'farine', 'oeuf', 'beurre', 'levure-chimique', 'sucre']",0,0,0,1
1,2,53,7,"4,2",Tian de pommes de terre et courgettes,65,0,0,0,0,0,0,"['pomme-de-terre', 'huile-d-olive', 'courgette', 'gruyere-rape', 'poivre', 'oignon', 'sel']",1,0,0,1
2,3,14,12,"3,4",Guimauve,50,0,0,0,1,0,0,"['blanc-d-oeuf', 'jus-de-citron', 'gelatine', 'sucre-glace', 'eau', 'sucre-en-poudre', 'colorant-alimentaire', 'fecule-de-mais', 'miel', 'glacons', 'sel']",0,0,0,0
3,4,567,7,"4,5",Brioche,50,0,0,0,0,1,0,"['farine', 'levure-de-boulanger-fraiche', 'oeuf', 'eau', 'beurre', 'sucre-en-poudre', 'sel']",0,0,0,1
4,5,93,3,"4,6",Feuilleté au reblochon,25,0,0,0,0,0,1,"['oeuf', 'reblochon', 'pate-feuilletee']",0,0,0,1
5,6,154,11,"4,7",Cassolettes de Saint-Jacques,40,0,0,0,0,0,0,"['noix-de-saint-jacques', 'champignon-de-paris', 'farine', 'creme-fraiche', 'margarine', 'persil', 'vin-blanc', 'ail', 'whisky', 'crevette-rose', 'oignon']",1,0,0,0
6,7,2,14,5,Poke cake,80,0,0,0,0,1,0,"['chocolat-noir', 'levure', 'farine', 'yaourt-nature', 'yaourt', 'oeuf', 'sucre-vanille', 'beurre', 'lait', 'maizena', 'sucre']",0,0,0,1
7,8,4,4,"4,3",Terrine de pain d'épices au chocolat et à l'orange,15,0,0,0,0,1,0,"['orange', 'chocolat-noir', 'pain-d-epices', 'oeuf']",0,0,0,1
8,9,20,10,"4,8",Nids de pain de mie oeuf cocotte et tomates séchées,35,0,0,0,0,0,0,"['chevre', 'pain-de-mie', 'oeuf', 'creme-fraiche', 'beurre', 'ciboulette', 'tomate-sechee', 'bacon', 'poivre', 'sel']",1,0,0,0
9,10,12,7,"4,8",Verrines de Noël,25,0,0,0,0,0,0,"['mascarpone', 'creme-de-marron', 'rhum', 'marrons', 'oeuf', 'boudoir', 'miel']",1,0,0,1
10,11,4,6,"4,5",Pain à partager légumes et mozzarella,35,0,1,0,0,0,0,"['mozzarella', 'basilic', 'poivron-jaune', 'tomate-sechee', 'pain', 'ail']",0,0,0,1
11,12,64,19,"4,8",Blanquette de veau à l'ancienne,130,0,0,0,0,0,0,"['clou-de-girofle', 'jaune-d-oeuf', 'citron', 'poireau', 'celeri', 'farine', 'carotte', 'epaule-de-veau', 'thym', 'feuille-de-laurier', 'champignon', 'oignon-jaune', 'beurre', 'creme-fraiche', 'ail', 'poivre', 'cerfeuil', 'oignon', 'sel']",1,0,0,0
12,13,5,4,"3,2",Pâte à Tartiner aux Petits-Pois,65,0,0,0,1,0,0,"['citron', 'petit-pois', 'bicarbonate', 'sucre-en-poudre']",0,0,1,1
13,14,25,10,"4,7",Gaspacho de légumes,30,0,0,0,0,0,1,"['concombre', 'tomate', 'huile-d-olive', 'celeri', 'vinaigre', 'poivre', 'poivron', 'pain', 'ail', 'sel']",0,0,1,1
14,15,14,9,"4,2",Muffin chocolat avocat,40,0,0,0,0,1,0,"['levure', 'avocat', 'farine', 'huile', 'cassonade', 'oeuf', 'chocolat', 'vanille', 'sel']",0,0,0,1
15,16,61,4,"4,6",Confit d'oignons ultra rapide,30,1,0,0,0,0,0,"['vinaigre-balsamique', 'huile-d-olive', 'sucre-en-poudre', 'oignon']",0,0,1,1
16,17,33,11,"4,3",Croquettes au Parmesan (Italie),35,0,0,0,0,0,1,"['muscade', 'blanc-d-oeuf', 'jaune-d-oeuf', 'parmesan', 'huile-de-friture', 'farine', 'lait', 'beurre', 'chapelure', 'poivre', 'sel']",0,0,0,1
17,18,1037,5,"4,7",Gâteau au chocolat fondant rapide,40,0,0,0,0,1,0,"['farine', 'oeuf', 'beurre', 'chocolat', 'sucre-en-poudre']",0,0,0,1
18,19,80,12,"4,4",Daube provençale,75,0,0,0,0,0,0,"['coulis', 'olives-noires', 'huile-d-olive', 'oignon', 'vin-rouge', 'feuille-de-laurier', 'thym', 'orange', 'boeuf', 'ail', 'poivre', 'carotte']",1,0,0,0
19,20,4,4,4,Pizza façon muffin,45,0,1,0,0,0,0,"['pate-a-pizza', 'mozzarella', 'tomate-cerise', 'pesto']",0,0,0,1
20,21,228,6,"4,8",Verrines de poires au foie gras,25,0,1,0,0,0,0,"['poire', 'foie-gras', 'sucre-de-canne', 'beurre', 'melange-4-epices', 'miel']",0,0,0,0
21,22,0,7,0,Bretzels aux pralines,30,0,0,0,0,1,0,"['praline', 'farine', 'cassonade', 'oeuf', 'beurre', 'levure-chimique', 'vanille']",0,0,0,1
22,23,77,6,"4,6",Pâte à choux sucré ou salé,55,0,0,0,0,1,0,"['farine', 'oeuf', 'eau', 'beurre', 'sucre', 'sel']",0,0,0,1
23,24,1050,9,"4,7",Cannelés bordelais,90,0,0,0,0,1,0,"['jaune-d-oeuf', 'rhum', 'beurre-doux', 'farine', 'lait', 'oeuf', 'sucre-en-poudre', 'vanille', 'sel']",0,0,0,1
24,25,461,5,"4,4",Pâte à crêpes très simple,25,0,0,0,0,1,0,"['farine', 'lait', 'oeuf', 'sucre-vanille', 'sel']",0,0,0,1
25,26,479,7,"4,5",Les gaufres du mercredi,23,0,0,0,0,1,0,"['farine', 'lait', 'oeuf', 'sucre-vanille', 'beurre', 'levure-chimique', 'sucre']",0,0,0,1
26,27,255,9,"4,8",Tarte au chocolat noir,50,0,0,0,0,1,0,"['chocolat-noir', 'creme-fraiche-liquide', 'farine', 'lait', 'oeuf', 'beurre', 'sucre', 'sel']",0,0,0,1
27,28,94,14,"4,8",Escalopes milanaises comme en Italie,35,0,0,0,0,0,0,"['parmesan-rape', 'citron', 'tomate', 'huile-d-olive', 'vinaigre-balsamique', 'basilic', 'farine', 'roquette', 'oeuf', 'chapelure', 'beurre', 'poivre', 'escalope-de-veau', 'sel']",1,0,0,0
28,29,4,6,"3,8",pomme de terre tourbillon / chorizo,70,0,0,0,0,0,0,"['chorizo', 'pomme-de-terre', 'parmesan', 'origan', 'fleur-de-sel', 'poivre']",1,0,0,0
29,30,62,11,"4,7",Pot au feu de boeuf (façon grand-mère),200,0,0,0,0,0,0,"['pomme-de-terre', 'poireau', 'celeri', 'oignon', 'navet', 'viande', 'bouquet-garni', 'os-a-moelle', 'poivre', 'carotte', 'sel']",1,0,0,0
30,31,78,8,"4,7",Melon et Mozzarella au basilic frais ,10,0,0,0,0,0,1,"['amandes', 'mozzarella', 'huile-d-olive', 'melon', 'basilic-frais', 'citron-vert', 'poivre', 'sel']",0,0,0,1
31,32,311,7,"4,7",Lasagnes au saumon et aux épinards,40,0,0,0,0,0,0,"['saumon-fume', 'parmesan', 'lasagnes', 'creme', 'poivre', 'epinard', 'sel']",1,0,0,0
32,33,1,8,5,Crakers légers et craquants,15,0,1,0,0,0,0,"['wonton', 'curcuma', 'sucre-glace', 'oeuf', 'poivre', 'sucre', 'vanille', 'sesame']",0,0,0,1
33,34,6,10,"4,2",Cake au potiron et chorizo,50,0,0,0,0,0,1,"['chorizo', 'huile-d-olive', 'farine', 'puree', 'creme-liquide', 'fromage-rape', 'oeuf', 'poivre', 'levure-chimique', 'sel']",0,0,0,0
34,35,452,11,"4,8",Tarte tatin de légumes,60,0,0,0,0,0,0,"['tomate', 'huile-d-olive', 'parmesan', 'pate-brisee', 'courgette', 'aubergine', 'poivron', 'poivre', 'herbes-de-provence', 'oignon', 'sel']",1,0,0,1
35,36,27,8,"3,3",Gaufre / Brownies,19,0,0,0,0,1,0,"['chocolat-noir', 'farine', 'oeuf', 'sucre-vanille', 'beurre', 'sel', 'sucre', 'noix-de-pecan']",0,0,0,1
36,37,22,9,"4,3",Galettes bretonnes complètes,15,0,0,0,0,0,0,"['farine', 'huile', 'oeuf', 'eau', 'gruyere', 'farine-de-ble-noir', 'jambon', 'sel']",1,0,0,0
37,38,22,6,"4,4",Soufflé au citron,27,0,0,0,0,1,0,"['citron', 'sucre-semoule', 'sucre-glace', 'oeuf', 'sel']",0,0,0,1
38,39,39,6,"4,7",Foie gras poêlé aux pommes,20,0,0,0,0,0,1,"['muscade', 'vinaigre-de-framboise', 'foie-gras', 'pomme', 'poivre', 'sel']",0,0,0,0
39,40,32,4,"4,7",Toasts au saumon fumé,20,0,1,0,0,0,0,"['creme-fraiche', 'saumon-fume', 'gruyere-rape', 'pain-de-mie']",0,0,0,0
40,41,23,11,"4,4",The New-York cheesecake,120,0,0,0,0,1,0,"['amandes', 'cacao', 'fromage-frais', 'farine', 'lait', 'oeuf', 'beurre', 'creme-fraiche-epaisse', 'cookie', 'sucre', 'vanille']",0,0,0,1
41,42,1,5,5,Poivrons momifiés au fromage frais,45,0,0,0,0,0,1,"['pate-feuilletee', 'olive-verte', 'olives-noires', 'fromage-frais', 'poivron']",0,0,0,1
42,43,85,10,"4,6",Pain de saumon au coulis de poireau,65,0,0,0,0,0,1,"['saumon', 'poireau', 'oeuf', 'creme-fraiche', 'beurre', 'poivre', 'sel']",0,0,0,0
43,44,4,10,"4,5",Framboise pistache banana bread balls,60,0,0,0,0,1,0,"['levure', 'pistache', 'arome-vanille', 'farine', 'cassonade', 'oeuf', 'beurre', 'banane', 'framboises', 'sel']",0,0,0,1
44,45,31,4,"4,6","Bavarois mousseux aux carambars, ou au caramel",25,0,0,0,0,1,0,"['carambar', 'gelatine', 'creme-fraiche-liquide', 'lait']",0,0,0,0
45,46,23,6,"4,4",Crumpets (Angleterre),40,0,0,0,0,1,0,"['farine', 'lait', 'eau', 'levure-chimique', 'levure-de-boulanger', 'sel']",0,0,0,1
46,47,9,4,"4,8",Bar enveloppé de croûte de sel,50,0,0,0,0,0,0,"['bar', 'blanc-d-oeuf', 'graine-de-fenouil', 'gros-sel']",1,0,0,0
47,48,20,5,"4,3",Mousse au chocolat cuite,40,0,0,0,0,1,0,"['cacao', 'oeuf', 'beurre', 'chocolat', 'sucre']",0,0,0,1
48,49,79,12,"4,7",Quiche aux courgettes,50,0,0,0,0,0,0,"['huile-d-olive', 'lardons', 'pate-brisee', 'courgette', 'lait', 'oeuf', 'creme-fraiche', 'gruyere-rape', 'poivre', 'herbes-de-provence', 'oignon', 'sel']",1,0,0,0
49,50,451,6,"4,5",Far breton aux pruneaux,45,0,0,0,0,1,0,"['pruneau', 'farine', 'lait', 'oeuf', 'sucre-vanille', 'sucre']",0,0,0,1
50,51,0,9,0,Chiktaye de morue Guadeloupe,150,0,0,0,0,0,0,"['morue', 'basilic', 'huile', 'citron-vert', 'persil', 'piment', 'poivre', 'oignon']",1,0,0,0
51,52,43,5,"4,6",Orangettes au chocolat de A à Z,225,0,0,0,1,0,0,"['chocolat-noir', 'orange', 'eau', 'gros-sel', 'sucre']",0,0,1,1
52,53,22,6,"4,2",Cigarettes russes,8,0,0,0,0,1,0,"['amandes', 'blanc-d-oeuf', 'farine', 'beurre', 'sucre', 'sel']",0,0,0,1
53,54,14,8,"4,5",Verrines de betterave et fromage frais ,20,0,1,0,0,0,0,"['fromage-ail-et-fines-herbes', 'vinaigre-balsamique', 'betterave', 'creme-fraiche-epaisse', 'cerneau-de-noix', 'miel-liquide', 'poivre', 'sel']",0,0,0,1
54,55,2,8,5,Steak frites en brochettes,35,0,0,0,0,0,0,"['pomme-de-terre', 'jaune-d-oeuf', 'concentre-de-tomates', 'viande', 'persil', 'poivre', 'oignon', 'sel']",1,0,0,0
55,56,6,12,4,Carrot Cupcake de Pâques,50,0,0,0,0,1,0,"['levure', 'sucre-roux', 'farine', 'bicarbonate', 'fromage-frais', 'sucre-glace', 'oeuf', 'beurre', 'vanille', 'carotte', 'sel']",0,0,0,1
56,57,225,6,"4,6",Tomates farcies au chèvre chaud,50,0,0,0,0,0,0,"['champignon-de-paris', 'poivre', 'fromage-de-chevre', 'lardons-fumes', 'herbes-de-provence', 'sel']",1,0,0,0
57,58,18,6,"4,2",Brick de pommes au caramel salé,40,0,0,0,0,1,0,"['sucre-roux', 'creme-liquide', 'pomme', 'orange', 'beurre', 'brick']",0,0,0,1
58,59,85,10,"4,8",Coupes de crème au mascarpone et framboises façon crumble,90,0,0,0,0,1,0,"['mascarpone', 'menthe', 'farine', 'oeuf', 'sucre-vanille', 'beurre', 'sucre-en-poudre', 'framboises', 'sel']",0,0,0,1
59,60,14,8,"4,7",Salade de fraises et kiwis,15,0,0,0,0,1,0,"['jus-de-citron', 'kirsch', 'menthe', 'kiwi', 'orange', 'poivre', 'sirop', 'fraises']",0,0,1,1
60,61,4,19,"3,8",La vraie « lasagna alla bolognese »,275,0,0,0,0,0,0,"['oignon-blanc', 'muscade', 'pate-a-lasagne', 'huile-d-olive', 'boeuf-hache', 'parmesan', 'celeri', 'coulis-de-tomate', 'farine', 'lait', 'eau', 'beurre', 'vin-blanc', 'poivre', 'porc', 'carotte', 'sel']",1,0,0,0
61,62,6,8,"4,3",Brochettes de poulet saté,150,0,0,0,0,0,0,"['sauce-soja', 'huile-d-arachide', 'blanc-de-poulet', 'miel', 'coriandre', 'poivre', 'arachide', 'ail']",1,0,0,0
62,63,119,10,"4,9",Filet mignon de porc en croûte tout simple,65,0,0,0,0,0,0,"['jaune-d-oeuf', 'pate-feuilletee', 'huile-d-olive', 'creme-epaisse', 'persil', 'ail', 'poivre', 'filet-mignon', 'moutarde', 'sel']",1,0,0,0
63,64,530,6,"4,5",Tiramisu aux fraises,20,0,0,0,0,1,0,"['mascarpone', 'citron', 'oeuf', 'biscuit-a-la-cuillere', 'sucre', 'fraises']",0,0,0,1
64,65,246,3,"4,5",Roses des sables au chocolat faciles,55,0,0,0,0,1,0,"['corn-flakes', 'margarine', 'chocolat']",0,0,1,1
65,66,1,6,5,Salade de coeurs de laitue et pamplemousse au homard,23,0,0,0,0,0,1,"['homard', 'laitue', 'ciboulette', 'persil', 'pamplemousse', 'vinaigrette']",0,0,0,0
66,67,83,8,"4,7",Poule au pot à l'ancienne,160,0,0,0,0,0,0,"['poireau', 'navet', 'carotte', 'thym', 'sel', 'poivre', 'oignon', 'poule']",1,0,0,0
67,68,44,6,"4,8",farce  à chapon,10,1,0,0,0,0,0,"['jambon-cru', 'boudin-blanc', 'magret-de-canard', 'pain-au-lait', 'poivre', 'sel']",0,0,0,0
68,69,93,5,"4,3",Pain (rapide),70,0,0,0,0,0,1,"['levure', 'huile-d-olive', 'farine', 'eau', 'sel']",0,0,1,1
69,70,40,7,"4,5",tarte au poireaux,45,0,0,0,0,0,0,"['muscade', 'pate', 'poireau', 'oeuf', 'creme-fraiche', 'poivre', 'sel']",1,0,0,1
70,71,67,5,"4,9",croque-monsieur à la sauce béchamel,40,0,0,0,0,0,1,"['bechamel', 'pain-de-mie', 'fromage-rape', 'beurre', 'jambon']",0,0,0,0
71,72,122,5,4,Petits pains délicieux,22,1,0,0,0,0,0,"['farine', 'huile', 'yaourt-nature', 'levure-chimique', 'sel']",0,0,0,1
72,73,38,6,"4,3",Potatoes diététiques,45,1,0,0,0,0,0,"['pomme-de-terre', 'paprika', 'piment', 'poivre', 'herbes-de-provence', 'sel']",0,0,1,1
73,74,117,5,"4,2",Tortilla (Espagne),45,0,0,0,0,0,1,"['pomme-de-terre', 'oeuf', 'poivre', 'oignon', 'sel']",0,0,0,1
74,75,146,4,"4,4",Roses des sables au chocolat,25,0,0,0,0,1,0,"['chocolat-patissier', 'vegetaline', 'mais', 'sucre-glace']",0,0,1,1
75,76,6,11,"4,5",Millefeuille de blinis,25,0,0,0,0,0,1,"['blini', 'huile-d-olive', 'miette-de-crabe', 'creme-liquide', 'beurre', 'ciboulette', 'curry', 'crevette-rose', 'poivre', 'oignon', 'sel']",0,0,0,0
76,77,12,5,"4,9",Tarte tatin aux pêches de vigne,35,0,0,0,0,1,0,"['pate', 'peche', 'eau', 'beurre', 'sucre']",0,0,0,1
77,78,235,3,"4,7",Crème de caramel au beurre salé,25,0,0,0,1,0,0,"['beurre', 'sucre', 'lait']",0,0,0,1
78,79,5,9,"4,4",Salade croquante de ravioles et jambon de parme,25,0,0,0,0,0,1,"['jus-de-citron', 'raviole', 'mache', 'tomate-cerise', 'huile-d-olive', 'huile-de-friture', 'poivre', 'jambon', 'sel']",0,0,0,0
79,80,21,3,"4,6",Mousse au chocolat allégée,20,0,0,0,0,1,0,"['oeuf', 'chocolat-noir', 'sucre']",0,0,0,1
80,81,15,3,"4,3",Velouté de courge butternut simple et rapide ,40,0,0,0,0,0,1,"['creme-fraiche', 'bouillon-de-volaille', 'courge']",0,0,0,0
81,82,1,4,4,Pomme au caramel façon pomme d'amour,25,0,0,0,0,1,0,"['pomme', 'noisettes', 'bonbon', 'lait']",0,0,0,1
82,83,8,10,"4,6",crumble cake poires et chocolat,65,0,0,0,0,1,0,"['poudre-de-noisette', 'poire', 'farine', 'cassonade', 'oeuf', 'beurre', 'chocolat', 'sucre']",0,0,0,1
83,84,31,8,"4,3",Dôme croquant de chocolat blanc à la mousse de fruits rouges et coeur de fraise,240,0,0,0,0,1,0,"['blanc-d-oeuf', 'fruits-rouges', 'gelatine', 'beurre', 'chocolat-blanc', 'creme-fleurette', 'sucre', 'fraises']",0,0,0,0
84,85,4,6,"4,5",Roulé de pizza au cheddar et beurre à l'ail,45,0,0,0,0,0,1,"['pate-a-pizza', 'cheddar', 'beurre', 'ciboulette', 'persil', 'ail']",0,0,0,1
85,86,35,4,"4,8",Etoiles à la Cannelle ( Zimtsterne ),60,0,0,0,1,0,0,"['amandes', 'blanc-d-oeuf', 'cannelle', 'sucre-glace']",0,0,0,1
86,87,189,6,"4,6",Salade de kiwis et tomates de Lili,5,0,0,0,0,0,1,"['citron', 'tomate', 'huile', 'kiwi', 'poivre', 'sel']",0,0,1,1
87,88,294,5,"4,8",Langues de chat,23,0,0,0,0,1,0,"['blanc-d-oeuf', 'farine', 'beurre', 'sucre-en-poudre', 'vanille']",0,0,0,1
88,89,260,11,"4,9",Bavarois aux fraises sur génoise,550,0,0,0,0,1,0,"['blanc-d-oeuf', 'jaune-d-oeuf', 'citron', 'coulis', 'gelatine', 'farine', 'creme-liquide', 'sucre', 'fraises']",0,0,0,0
89,90,235,2,"4,5",Crème Chantilly,5,0,0,0,0,1,0,"['creme-fraiche-liquide', 'sucre-glace']",0,0,0,1
90,91,481,17,"4,8",Pain d'épices facile,50,0,0,0,0,1,0,"['muscade', 'clou-de-girofle', 'amandes', 'levure', 'noisettes', 'farine', 'gingembre', 'cassonade', 'noix-de-coco', 'lait', 'oeuf', 'ecorce-d-orange', 'beurre', 'cannelle', 'noix', 'miel', 'sel']",0,0,0,1
91,92,11,9,"4,1",Flan aux pommes et aux pruneaux,65,0,0,0,0,1,0,"['rhum', 'pruneau', 'farine', 'the', 'lait', 'pomme', 'oeuf', 'beurre', 'sucre-en-poudre']",0,0,0,1
92,93,115,7,"4,6",Oeuf cocotte au bacon,25,0,0,0,0,0,1,"['oeuf', 'creme-fraiche', 'beurre', 'gruyere-rape', 'bacon', 'poivre', 'sel']",0,0,0,0
93,94,30,6,"4,8",Pain perdu roulé au Nutella,20,0,0,0,0,1,0,"['nutella', 'pain-de-mie', 'huile', 'lait', 'oeuf', 'sucre-vanille']",0,0,0,1
94,95,22,8,"4,2",Coquilles St Jacques à la Bretonne,75,0,0,0,0,0,1,"['coquille-saint-jacques', 'oignon-jaune', 'chapelure', 'persil', 'vin-blanc', 'beurre', 'poivre', 'sel']",0,0,0,0
95,96,14,7,"3,6",Pancakes fourrés au chocolat,20,0,0,0,0,1,0,"['levure', 'farine', 'huile', 'lait', 'oeuf', 'chocolat', 'sucre']",0,0,0,1
96,97,36,8,"4,6",Roulades de saumon aux asperges et au chèvre,35,0,0,0,0,0,0,"['crevette', 'saumon-fume', 'asperge', 'tomate-cerise', 'persil', 'fromage-de-chevre', 'poivre', 'creme']",1,0,0,0
97,98,7,5,"4,1",Aubergine express au micro-ondes,13,1,0,0,0,0,0,"['huile-d-olive', 'parmesan', 'aubergine', 'poivre', 'sel']",0,0,0,1
98,99,12,5,5,Poires pochées au chocolat,40,0,0,0,0,1,0,"['chocolat-noir', 'poire', 'creme-liquide', 'sucre', 'vanille']",0,0,0,1
99,100,5,7,"3,6",Zoodle de butternut,45,1,0,0,0,0,0,"['courge', 'huile-d-olive', 'parmesan', 'persil', 'poivre', 'ail', 'sel']",0,0,0,1
100,101,18,5,"4,9",Camembert en croûte,25,0,0,0,0,0,1,"['jaune-d-oeuf', 'pate-feuilletee', 'camembert', 'lard', 'thym']",0,0,0,0
101,102,92,10,"4,5",Cuisses de poulet au four,45,0,0,0,0,0,0,"['clou-de-girofle', 'huile-d-olive', 'oignon', 'feuille-de-laurier', 'bouillon', 'eau', 'cuisse-de-poulet', 'ail', 'genievre', 'thym']",1,0,0,0
102,103,3,8,4,rouleau croustillant de coquillettes,40,0,0,0,0,0,0,"['fromage-rape', 'farine', 'huile', 'jambon-sec', 'oeuf', 'chapelure', 'gros-sel', 'coquillettes']",1,0,0,0
103,104,51,9,"4,7",Cuisses de poulet en papillote,60,0,0,0,0,0,0,"['huile-d-olive', 'coulis-de-tomate', 'feuille-de-laurier', 'ail', 'poulet', 'poivre', 'herbes-de-provence', 'oignon', 'sel']",1,0,0,0
104,105,22,4,"4,8",Panna cotta Vanille,20,0,0,0,0,1,0,"['vanille', 'gelatine', 'creme-liquide', 'sucre-en-poudre']",0,0,0,0
105,106,20,5,"3,8",Croustillants de banane au gingembre,20,0,0,0,0,1,0,"['beurre', 'banane', 'brick', 'sucre-en-poudre', 'gingembre']",0,0,0,1
106,107,83,2,"4,8",Mont d'Or au four,30,0,0,0,0,0,0,"['mont-d-or', 'vin-blanc']",1,0,0,1
107,108,79,9,"4,5",Les vrais pancakes à l'américaine,40,0,0,0,0,1,0,"['farine', 'bicarbonate', 'oeuf', 'beurre', 'sel', 'ble', 'sucre', 'lait-fermente']",0,0,0,1
108,109,28,6,"4,7",Risotto de pâtes d'Elodie,12,0,0,0,0,0,0,"['petit-pois', 'lardons', 'fromage-rape', 'vin-blanc', 'bouillon-de-volaille', 'pates']",1,0,0,0
109,110,3,10,"4,3",Maison en pain d'épices facile,102,0,0,0,0,1,0,"['blanc-d-oeuf', 'jus-de-citron', 'levure', 'farine', 'sucre', 'lait', 'epices', 'beurre', 'sucre-glace', 'miel']",0,0,0,1
110,111,19,6,"3,6",Sablés léopard,45,0,0,0,0,1,0,"['cacao', 'farine', 'poudre-d-amande', 'oeuf', 'beurre', 'sucre']",0,0,0,1
111,112,21,10,"4,6",Salade de poulet curry et haricots verts,35,0,0,0,0,0,0,"['raisins-secs', 'tomate', 'huile-d-olive', 'yaourt-nature', 'haricot-vert', 'cannelle', 'curry', 'escalope-de-poulet', 'poivre', 'sel']",1,0,0,0
112,113,3,15,"3,7",Pizza chou-fleur et roquette,40,0,0,0,0,0,0,"['amandes', 'mozzarella', 'avocat', 'huile-d-olive', 'parmesan', 'tomate-cerise', 'champignon-de-paris', 'roquette', 'oeuf', 'chou-fleur', 'persil', 'poivre', 'ail', 'sel']",1,0,0,1
113,114,1,13,4,Makis de crêpes à la pâte à tartiner,75,0,0,0,0,1,0,"['riz-rond', 'pate-a-tartiner', 'cacao', 'farine', 'huile', 'miel', 'lait', 'oeuf', 'sucre', 'vanille', 'sel']",0,0,0,1
114,115,21,8,"4,5",Matefaim aux pommes,26,0,0,0,0,1,0,"['jus-de-citron', 'sucre-semoule', 'farine', 'lait', 'oeuf', 'pomme', 'beurre', 'sel']",0,0,0,1
115,116,2,6,"3,5",risotto de coquillettes saucisse de morteau,94,0,0,0,0,0,0,"['huile-d-olive', 'patisson', 'bouillon', 'saucisse-de-morteau', 'coquillettes', 'oignon']",1,0,0,0
116,117,1030,6,"4,6",Flan pâtissier traditionnel,60,0,0,0,0,1,0,"['pate-brisee', 'lait', 'oeuf', 'maizena', 'sucre', 'vanille']",0,0,0,1
117,118,4,5,"4,8",Crottin de chèvre frit au jambon cru,20,0,0,0,0,0,1,"['crottin-de-chevre', 'oeuf', 'chapelure', 'jambon', 'huile-de-friture']",0,0,0,0
118,119,21,4,"4,6",Fougasse simple et rapide aux lardons,30,0,0,0,0,0,1,"['pate-a-pizza', 'creme-fraiche', 'lardons-fumes', 'gruyere-rape']",0,0,0,0
119,120,54,7,"4,7",Carpaccio de coquilles saint jacques,15,0,0,0,0,0,1,"['huile-d-olive', 'basilic-frais', 'coquille-saint-jacques', 'citron-vert', 'miel-liquide', 'poivre', 'sel']",0,0,0,0
120,121,82,8,"4,6",Tiramisù,40,0,0,0,0,1,0,"['mascarpone', 'jaune-d-oeuf', 'cacao', 'cafe', 'biscuit', 'amaretto', 'sucre-en-poudre', 'creme-fleurette']",0,0,0,1
121,122,3,8,"3,3","Salade de mozzarella aux myrtilles, aux framboises et au basilic",10,0,0,0,0,0,0,"['myrtilles', 'huile-d-olive', 'mozzarella-di-buffala', 'vinaigre-balsamique', 'basilic', 'fleur-de-sel', 'poivre', 'framboises']",1,0,0,1
122,123,104,9,"4,5",Gratin de pâtes au chorizo et curry,25,0,0,0,0,0,0,"['chorizo', 'penne', 'oeuf', 'creme-fraiche', 'gruyere', 'chapelure', 'vinaigre', 'curry', 'oignon']",1,0,0,0
123,124,22,12,"4,8",Croustillant de camembert au bacon,8,0,0,0,0,0,0,"['tomate', 'huile-d-olive', 'vinaigre-balsamique', 'camembert', 'lait', 'oeuf', 'chapelure', 'persil', 'bacon', 'poivre', 'salade', 'sel']",1,0,0,0
124,125,84,5,"4,7",Verrines aux pommes et caramel,40,0,0,0,0,1,0,"['mascarpone', 'pomme', 'creme-fraiche', 'palets-bretons', 'sucre']",0,0,0,1
125,126,7,12,"4,4",Gaufre façon pizza,26,0,0,0,0,0,0,"['mozzarella', 'levure', 'farine', 'origan', 'coulis-de-tomate', 'lait', 'oeuf', 'beurre', 'poivre', 'jambon', 'sel']",1,0,0,0
126,127,23,10,"4,3",Gratin jurassien,60,0,0,0,0,0,0,"['comte', 'pomme-de-terre', 'oignon', 'jambon-blanc', 'fond-de-volaille', 'creme-fraiche', 'eau', 'morbier', 'vin-blanc', 'moutarde']",1,0,0,0
127,128,0,6,0,feuilletté de saumon,28,0,1,0,0,0,0,"['saumon-fume', 'pate-feuilletee', 'oeuf', 'paprika', 'fromage-blanc', 'poivre']",0,0,0,0
128,129,64,6,"4,8",Tarte aux Quetsches d'Alsace,60,0,0,0,0,1,0,"['sucre-semoule', 'pate-brisee', 'semoule', 'quetsche', 'prune', 'cannelle']",0,0,1,1
129,130,965,9,"4,6",Cheese cake (gâteau au fromage blanc) inratable ,85,0,0,0,0,1,0,"['muscade', 'extrait-de-vanille', 'biscuit', 'sucre-semoule', 'beurre-doux', 'farine', 'oeuf', 'creme-fraiche', 'fromage-blanc']",0,0,0,1
130,131,154,5,"4,4",Tarte aux mirabelles,65,0,0,0,0,1,0,"['pate-brisee', 'oeuf', 'beurre', 'sucre-en-poudre', 'mirabelle']",0,0,0,1
131,132,144,10,"4,8","Salade melon, feta, jambon ",15,0,0,0,0,0,1,"['jus-de-citron', 'huile-d-olive', 'melon', 'eau', 'sel', 'poivre', 'jambon', 'salade', 'thym', 'feta']",0,0,0,0
132,133,9,8,"4,9","Pomme de terre au four farcie, champignons, lardons et petits oignons",35,0,0,0,0,0,0,"['pomme-de-terre', 'huile-d-olive', 'lardons', 'champignon-de-paris', 'buche-de-chevre', 'poivre', 'oignon', 'sel']",1,0,0,0
